userId,movieId,score,title,genres
1,96004,6.822839522569728,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993),Action|Adventure|Animation
1,3379,6.822839522569728,On the Beach (1959),Drama
1,6201,6.7227100817169045,Lady Jane (1986),Drama|Romance
1,8235,6.7227100817169045,Safety Last! (1923),Action|Comedy|Romance
1,104875,6.529663837141029,"History of Future Folk, The (2012)",Adventure|Comedy|Musical|Sci-Fi
1,53280,6.491869899699369,"Breed, The (2006)",Horror|Thriller
1,118270,6.491869899699369,Hellbenders (2012),Comedy|Horror|Thriller
1,131610,6.491869899699369,Willy/Milly (1986),Comedy|Fantasy
1,139640,6.491869899699369,Ooops! Noah is Gone... (2015),Animation
1,147410,6.491869899699369,A Perfect Day (2015),Comedy|Drama
2,8477,6.420465326509991,"Jetée, La (1962)",Romance|Sci-Fi
2,156605,5.778418743345036,Paterson,(no genres listed)
2,25771,5.699716020232616,"Andalusian Dog, An (Chien andalou, Un) (1929)",Fantasy
2,3266,5.696574116931327,Man Bites Dog (C'est arrivé près de chez vous) (1992),Comedy|Crime|Drama|Thriller
2,96004,5.660305831592233,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993),Action|Adventure|Animation
2,3379,5.660305831592233,On the Beach (1959),Drama
2,67618,5.608588069164392,Strictly Sexual (2008),Comedy|Drama|Romance
2,6732,5.481953212790184,"Hello, Dolly! (1969)",Comedy|Musical|Romance
2,104875,5.4528380242494645,"History of Future Folk, The (2012)",Adventure|Comedy|Musical|Sci-Fi
2,60943,5.406422674269502,Frozen River (2008),Drama
3,89904,4.204026544590548,The Artist (2011),Comedy|Drama|Romance
3,3142,3.8963301901922875,U2: Rattle and Hum (1988),Documentary|Musical
3,27251,3.8021383809644242,"10th Kingdom, The (2000)",Adventure|Comedy|Fantasy
3,105355,3.2856025978690013,Blue Is the Warmest Color (La vie d'Adèle) (2013),Drama|Romance
3,4617,3.1874540012779207,Let It Ride (1989),Comedy
3,4117,3.164833023753559,Hope and Glory (1987),Drama
3,7841,3.097483170674547,Children of Dune (2003),Fantasy|Sci-Fi
3,6375,3.0734651235187727,Gigantic (A Tale of Two Johns) (2002),Documentary
3,159858,3.028814896790845,The Conjuring 2 (2016),Horror
3,56715,3.016354907661262,Wristcutters: A Love Story (2006),Drama|Fantasy|Romance
4,53280,5.672519875409426,"Breed, The (2006)",Horror|Thriller
4,118270,5.672519875409426,Hellbenders (2012),Comedy|Horror|Thriller
4,131610,5.672519875409426,Willy/Milly (1986),Comedy|Fantasy
4,139640,5.672519875409426,Ooops! Noah is Gone... (2015),Animation
4,147410,5.672519875409426,A Perfect Day (2015),Comedy|Drama
4,44851,5.672519875409426,Go for Zucker! (Alles auf Zucker!) (2004),Comedy
4,69211,5.672519875409426,Boy Eats Girl (2005),Comedy|Horror
4,109241,5.672519875409426,On the Other Side of the Tracks (De l'autre côté du périph) (2012),Action|Comedy|Crime
4,121781,5.672519875409426,Stuart Little 3: Call of the Wild (2005),Animation|Children|Comedy|Fantasy
4,126921,5.672519875409426,The Fox and the Hound 2 (2006),Adventure|Animation|Children|Comedy
5,96004,5.719825798316799,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993),Action|Adventure|Animation
5,3379,5.719825798316799,On the Beach (1959),Drama
5,6201,5.490644840431017,Lady Jane (1986),Drama|Romance
5,8235,5.490644840431017,Safety Last! (1923),Action|Comedy|Romance
5,25947,5.3701140331595125,Unfaithfully Yours (1948),Comedy
5,6611,5.339770188857061,Umberto D. (1952),Drama
5,152711,5.339770188857061,Who Killed Chea Vichea? (2010),Documentary
5,32582,5.339770188857061,"Wild Parrots of Telegraph Hill, The (2003)",Documentary
5,162414,5.339770188857061,Moonlight,Drama
5,167064,5.339770188857061,I Am Not Your Negro (2017),Documentary
